Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
2@39	31.17	-3999	5634	2.56	2.08E+09	0.00205089	0.182	2.69E-02	0	-28	-6	0.00205340	24.04	
2@40	31.23	-4018	5606	2.56	2.07E+09	0.00205053	0.175	2.71E-02	0	-28	-6	0.00205305	23.86	
2@41	31.30	-4037	5578	2.56	2.10E+09	0.00204987	0.158	3.11E-02	0	-27	-5	0.00205238	23.53	
2@42	31.37	-4056	5550	2.56	2.10E+09	0.00205053	0.161	3.06E-02	0	-27	-5	0.00205304	23.86	
2@43	31.43	-4075	5521	2.56	2.10E+09	0.00204927	0.171	3.12E-02	0	-27	-6	0.00205179	23.23	
2@44	31.50	-4094	5493	2.56	2.08E+09	0.00204930	0.164	3.13E-02	0	-27	-6	0.00205181	23.25	
2@45	31.57	-4113	5465	2.57	2.09E+09	0.00205067	0.185	3.13E-02	0	-26	-4	0.00205318	23.93	
2@46	31.63	-4132	5437	2.56	2.09E+09	0.00204807	0.144	3.08E-02	-1	-26	-5	0.00205058	22.63	
2@47	31.70	-4151	5408	2.56	2.09E+09	0.00204822	0.182	3.08E-02	-1	-26	-6	0.00205073	22.71	
2@48	31.92	-4170	5380	2.55	2.10E+09	0.00204724	0.142	3.00E-02	-1	-26	-7	0.00204975	22.22	
2@49	31.98	-4189	5352	2.56	2.06E+09	0.00204666	0.197	2.99E-02	-1	-26	-7	0.00204917	21.93	
2@50	32.05	-4208	5324	2.55	2.05E+09	0.00204608	0.142	3.03E-02	-2	-25	-5	0.00204859	21.64	
2@51	32.12	-4227	5295	2.55	2.09E+09	0.00204904	0.192	2.96E-02	-2	-26	-6	0.00205155	23.12	
2@52	32.18	-4246	5268	2.55	2.08E+09	0.00204700	0.155	3.01E-02	-2	-26	-6	0.00204951	22.10	
3@01	24.90	-1611	5398	2.76	2.26E+09	0.00205760	0.183	2.37E-02	19	-15	-10	0.00206013	27.39	
3@02	24.97	-1639	5376	2.80	2.25E+09	0.00205547	0.178	2.42E-02	19	-15	-11	0.00205799	26.33	
3@03	25.03	-1667	5354	2.78	2.23E+09	0.00205404	0.195	2.42E-02	19	-15	-10	0.00205656	25.61	
3@04	25.12	-1695	5333	2.76	2.22E+09	0.00205415	0.168	2.40E-02	18	-15	-9	0.00205666	25.67	
3@05	25.18	-1723	5311	2.76	2.22E+09	0.00205249	0.193	2.53E-02	18	-15	-9	0.00205501	24.84	
3@06	25.25	-1751	5290	2.76	2.21E+09	0.00205220	0.179	2.79E-02	18	-15	-8	0.00205472	24.70	
3@07	25.32	-1779	5268	2.75	2.22E+09	0.00205211	0.205	2.70E-02	18	-14	-8	0.00205462	24.65	
3@08	25.38	-1807	5247	2.75	2.20E+09	0.00205158	0.210	2.61E-02	17	-14	-8	0.00205409	24.38	
3@09	25.45	-1835	5226	2.75	2.21E+09	0.00205023	0.172	2.89E-02	17	-14	-9	0.00205274	23.71	
3@10	25.52	-1863	5204	2.74	2.22E+09	0.00205188	0.192	2.88E-02	17	-14	-7	0.00205440	24.53	
3@11	25.58	-1891	5183	2.74	2.20E+09	0.00205252	0.164	2.87E-02	16	-14	-8	0.00205503	24.85	
3@12	25.65	-1919	5161	2.74	2.19E+09	0.00205320	0.158	2.86E-02	16	-13	-8	0.00205572	25.19	
3@13	25.72	-1947	5140	2.73	2.21E+09	0.00205762	0.192	2.64E-02	16	-14	-8	0.00206014	27.40	
3@14	25.78	-1975	5119	2.73	2.20E+09	0.00205490	0.173	2.73E-02	16	-14	-8	0.00205742	26.04	
3@15	25.85	-2003	5097	2.73	2.17E+09	0.00204864	0.194	4.35E-02	16	-13	-8	0.00205115	22.91	
3@16	26.05	-2031	5076	2.71	2.20E+09	0.00205354	0.190	2.76E-02	15	-13	-8	0.00205606	25.36	
3@17	26.12	-2059	5054	2.71	2.18E+09	0.00205313	0.157	2.59E-02	15	-14	-7	0.00205565	25.16	
3@18	26.18	-2087	5033	2.71	2.19E+09	0.00205274	0.190	2.67E-02	15	-14	-8	0.00205525	24.96	
3@19	26.25	-2115	5012	2.71	2.19E+09	0.00205251	0.171	2.64E-02	14	-14	-8	0.00205503	24.85	
3@20	26.32	-2143	4990	2.71	2.18E+09	0.00205322	0.188	2.43E-02	14	-14	-7	0.00205574	25.20	
3@21	26.38	-2171	4969	2.71	2.19E+09	0.00205160	0.164	2.75E-02	14	-13	-7	0.00205411	24.39	
3@22	26.45	-2198	4947	2.71	2.19E+09	0.00205109	0.176	2.91E-02	14	-13	-8	0.00205361	24.14	
3@23	26.52	-2225	4926	2.70	2.20E+09	0.00205151	0.164	2.91E-02	13	-13	-7	0.00205403	24.35	
3@24	26.58	-2252	4905	2.70	2.18E+09	0.00205212	0.168	2.83E-02	13	-13	-7	0.00205464	24.65	
3@25	26.65	-2279	4883	2.71	2.16E+09	0.00205013	0.183	2.98E-02	13	-13	-7	0.00205265	23.66	
3@26	26.72	-2306	4862	2.70	2.18E+09	0.00205260	0.161	2.90E-02	13	-13	-8	0.00205511	24.89	
3@27	26.78	-2333	4840	2.70	2.18E+09	0.00205118	0.158	2.92E-02	13	-12	-7	0.00205370	24.19	
3@28	26.85	-2360	4819	2.70	2.13E+09	0.00204927	0.147	2.98E-02	13	-12	-7	0.00205178	23.23	
3@29	26.92	-2387	4797	2.71	2.01E+09	0.00204537	0.197	3.15E-02	13	-12	-8	0.00204788	21.29	
3@30	26.98	-2414	4776	2.71	2.22E+09	0.00205035	0.148	2.79E-02	12	-12	-9	0.00205286	23.77	
3@31	27.20	-2441	4755	2.70	2.19E+09	0.00205081	0.135	2.78E-02	12	-12	-7	0.00205333	24.00	
3@32	27.27	-2468	4733	2.70	2.17E+09	0.00204955	0.144	2.97E-02	12	-12	-7	0.00205206	23.37	
3@33	27.33	-2495	4712	2.70	2.20E+09	0.00205166	0.178	2.81E-02	11	-12	-8	0.00205417	24.42	
3@34	27.40	-2522	4690	2.70	2.20E+09	0.00205167	0.182	2.82E-02	11	-13	-8	0.00205419	24.43	
3@35	27.47	-2549	4669	2.71	2.22E+09	0.00204908	0.173	2.78E-02	11	-12	-8	0.00205159	23.14	
3@36	27.53	-2576	4648	2.70	2.22E+09	0.00204774	0.162	2.76E-02	10	-12	-7	0.00205025	22.46	
3@37	27.60	-2603	4626	2.71	2.19E+09	0.00205002	0.180	2.75E-02	10	-13	-7	0.00205253	23.60	
3@38	27.67	-2630	4605	2.71	2.19E+09	0.00204877	0.142	2.82E-02	10	-12	-8	0.00205128	22.98	
3@39	27.73	-2657	4583	2.71	2.19E+09	0.00204960	0.162	3.06E-02	10	-12	-7	0.00205211	23.39	
3@40	27.80	-2684	4562	2.70	2.20E+09	0.00204889	0.179	2.86E-02	9	-12	-6	0.00205140	23.04	
3@41	27.87	-2711	4541	2.71	2.14E+09	0.00204813	0.153	3.29E-02	9	-11	-7	0.00205064	22.66	
3@42	27.93	-2738	4519	2.72	2.14E+09	0.00204798	0.171	3.40E-02	9	-11	-8	0.00205049	22.58	
3@43	28.00	-2765	4498	2.72	2.13E+09	0.00204774	0.163	3.53E-02	9	-10	-7	0.00205025	22.47	
3@44	28.07	-2792	4476	2.70	2.15E+09	0.00204822	0.170	3.09E-02	9	-10	-8	0.00205073	22.71	
3@45	28.13	-2819	4456	2.68	2.16E+09	0.00204858	0.180	2.85E-02	8	-11	-9	0.00205109	22.89	
5@01	19.15	-4274	837	2.66	2.20E+09	0.00205611	0.161	2.43E-02	-14	-5	-9	0.00205863	26.65	
5@02	19.22	-4256	808	2.65	2.20E+09	0.00205415	0.162	2.48E-02	-14	-4	-9	0.00205667	25.67	
5@03	19.28	-4238	779	2.64	2.18E+09	0.00205431	0.156	2.41E-02	-14	-4	-9	0.00205683	25.75	
5@04	19.37	-4220	750	2.64	2.18E+09	0.00205281	0.149	2.63E-02	-14	-4	-8	0.00205532	25.00	
5@05	19.43	-4202	721	2.63	2.17E+09	0.00205236	0.165	2.65E-02	-15	-4	-10	0.00205487	24.77	
5@06	19.50	-4184	692	2.63	2.17E+09	0.00205040	0.178	2.50E-02	-14	-3	-9	0.00205292	23.80	
5@07	19.57	-4166	663	2.62	2.17E+09	0.00205392	0.181	2.45E-02	-15	-4	-10	0.00205644	25.55	
5@08	19.63	-4148	634	2.62	2.16E+09	0.00205566	0.182	2.34E-02	-15	-3	-9	0.00205818	26.42	
5@09	19.70	-4130	605	2.61	2.17E+09	0.00205460	0.177	2.42E-02	-15	-3	-10	0.00205711	25.89	
5@10	19.77	-4112	576	2.61	2.17E+09	0.00205321	0.164	2.54E-02	-14	-3	-10	0.00205572	25.20	
5@11	19.83	-4094	547	2.60	2.14E+09	0.00205162	0.202	2.55E-02	-15	-4	-10	0.00205413	24.40	
5@12	20.03	-4075	518	2.60	2.14E+09	0.00205167	0.192	2.53E-02	-15	-3	-10	0.00205418	24.43	
5@13	20.10	-4056	489	2.60	2.16E+09	0.00205080	0.166	2.75E-02	-15	-2	-10	0.00205332	24.00	
5@14	20.17	-4037	460	2.59	2.15E+09	0.00205217	0.158	2.78E-02	-15	-2	-10	0.00205469	24.68	
5@15	20.23	-4018	431	2.59	2.13E+09	0.00205501	0.162	2.44E-02	-15	-3	-11	0.00205753	26.10	
5@16	20.30	-3999	402	2.59	2.12E+09	0.00205090	0.164	2.66E-02	-15	-3	-10	0.00205341	24.04	
5@17	20.37	-3980	374	2.58	2.10E+09	0.00205049	0.208	2.86E-02	-15	-2	-10	0.00205300	23.84	
5@18	20.43	-3961	345	2.58	2.14E+09	0.00205267	0.149	2.81E-02	-15	-2	-11	0.00205518	24.93	
5@19	20.50	-3942	316	2.58	2.13E+09	0.00205277	0.175	2.82E-02	-15	-2	-11	0.00205529	24.98	
5@20	20.57	-3923	287	2.58	2.12E+09	0.00205425	0.157	2.67E-02	-17	-2	-10	0.00205677	25.72	
5@21	20.63	-3904	258	2.58	2.14E+09	0.00205361	0.178	2.68E-02	-15	-3	-10	0.00205613	25.40	
5@22	20.70	-3885	229	2.57	2.15E+09	0.00205405	0.152	2.75E-02	-15	-2	-11	0.00205656	25.61	
5@23	20.77	-3866	200	2.57	2.14E+09	0.00205273	0.155	2.73E-02	-16	-2	-12	0.00205524	24.96	
5@24	20.83	-3847	171	2.56	2.12E+09	0.00205419	0.161	2.78E-02	-16	-2	-11	0.00205671	25.69	
5@25	20.90	-3828	142	2.56	2.13E+09	0.00205361	0.167	2.72E-02	-16	-2	-11	0.00205612	25.40	
5@26	20.97	-3809	113	2.56	2.14E+09	0.00205346	0.136	2.80E-02	-16	-2	-11	0.00205597	25.32	
5@27	21.18	-3790	84	2.55	2.12E+09	0.00205456	0.204	2.74E-02	-16	-2	-11	0.00205708	25.87	
5@28	21.25	-3771	55	2.56	2.11E+09	0.00205103	0.192	2.77E-02	-16	-2	-11	0.00205355	24.11	
5@29	21.32	-3752	26	2.56	2.13E+09	0.00205273	0.153	2.80E-02	-16	-1	-11	0.00205525	24.96	
5@30	21.38	-3733	-2	2.57	2.13E+09	0.00205316	0.174	2.79E-02	-16	-1	-10	0.00205568	25.17	
