Mount	SIMS_ID	Fish_ID	Distance_um	Na/Ca	Mg/Ca	Mn/Ca	Sr/Ca	Ba/Ca	comment	
035	A	BH-93152	627.0	7.94E-03	1.53E-04	8.50E-05	3.39E-03	5.09E-06		
035	A	BH-93152	621.5	8.39E-03	1.46E-04	6.59E-05	3.74E-03	5.14E-06		
035	A	BH-93152	616.0	8.02E-03	1.21E-04	4.86E-05	3.93E-03	5.53E-06		
035	A	BH-93152	610.5	8.61E-03	1.18E-04	4.18E-05	4.16E-03	5.94E-06		
035	A	BH-93152	605.0	8.41E-03	1.10E-04	4.12E-05	3.89E-03	4.31E-06		
035	A	BH-93152	599.5	8.11E-03	1.21E-04	4.12E-05	3.77E-03	3.90E-06		
035	A	BH-93152	594.0	8.70E-03	1.36E-04	4.23E-05	3.81E-03	5.28E-06		
035	A	BH-93152	588.5	8.56E-03	1.34E-04	4.10E-05	3.66E-03	3.17E-06		
035	A	BH-93152	583.0	8.61E-03	1.35E-04	5.02E-05	3.45E-03	5.08E-06		
035	A	BH-93152	577.5	8.57E-03	1.10E-04	4.80E-05	3.22E-03	6.54E-06		
035	A	BH-93152	572.0	8.53E-03	1.10E-04	5.16E-05	3.29E-03	5.47E-06		
035	A	BH-93152	566.5	8.57E-03	9.85E-05	5.18E-05	3.05E-03	5.50E-06		
035	A	BH-93152	561.0	8.69E-03	1.32E-04	5.61E-05	3.24E-03	5.05E-06		
035	A	BH-93152	555.5	7.94E-03	1.38E-04	6.18E-05	2.99E-03	5.28E-06		
035	A	BH-93152	550.0	8.50E-03	1.44E-04	6.63E-05	3.20E-03	6.25E-06		
035	A	BH-93152	544.5	8.60E-03	1.47E-04	6.01E-05	3.26E-03	5.86E-06		
035	A	BH-93152	539.0	9.16E-03	1.47E-04	5.56E-05	3.44E-03	5.43E-06		
035	A	BH-93152	533.5	9.72E-03	1.65E-04	6.63E-05	3.65E-03	4.99E-06		
035	A	BH-93152	528.0	9.15E-03	1.70E-04	6.15E-05	3.38E-03	5.16E-06		
035	A	BH-93152	522.5	8.96E-03	1.75E-04	7.73E-05	3.06E-03	6.46E-06		
035	A	BH-93152	517.0	8.25E-03	1.57E-04	9.89E-05	3.06E-03	6.46E-06		
035	A	BH-93152	511.5	7.49E-03	1.37E-04	1.04E-04	2.68E-03	6.57E-06		
035	A	BH-93152	506.0	8.08E-03	1.26E-04	1.12E-04	2.69E-03	5.61E-06		
035	A	BH-93152	500.5	8.77E-03	1.37E-04	1.29E-04	2.71E-03	4.85E-06		
035	A	BH-93152	495.0	8.89E-03	1.39E-04	1.31E-04	2.66E-03	4.52E-06		
035	A	BH-93152	489.5	7.89E-03	1.42E-04	1.29E-04	2.51E-03	3.96E-06		
035	A	BH-93152	484.0	7.38E-03	1.15E-04	1.31E-04	2.42E-03	3.21E-06		
035	A	BH-93152	478.5	7.69E-03	1.16E-04	1.29E-04	2.46E-03	2.19E-06		
035	A	BH-93152	473.0	8.46E-03	1.34E-04	1.36E-04	2.59E-03	2.70E-06		
035	A	BH-93152	467.5	8.88E-03	1.63E-04	1.41E-04	2.85E-03	2.99E-06		
035	A	BH-93152	462.0	8.86E-03	1.68E-04	1.40E-04	2.95E-03	4.95E-06		
035	A	BH-93152	456.5	8.81E-03	1.35E-04	1.42E-04	2.88E-03	5.32E-06		
035	A	BH-93152	451.0	9.64E-03	1.66E-04	1.57E-04	3.57E-03	5.81E-06		
035	A	BH-93152	445.5	1.05E-02	1.48E-04	1.50E-04	3.66E-03	7.88E-06		
035	A	BH-93152	440.0	1.15E-02	1.98E-04	1.62E-04	3.96E-03	8.12E-06		
035	A	BH-93152	434.5	9.33E-03	1.60E-04	1.46E-04	3.34E-03	6.26E-06		
035	A	BH-93152	429.0	8.28E-03	1.38E-04	1.24E-04	2.92E-03	4.46E-06		
