Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#O-S88@44	28.32	4299	-532	2.40	2.18E+09	0.00204433	0.16	0.0243	10	-9	28	0.00205393	24.30	
#O-S88@45	28.38	4322	-504	2.40	2.18E+09	0.00204213	0.18	0.0244	11	-9	27	0.00205172	23.20	
#O-S88@46	28.45	4345	-476	2.40	2.18E+09	0.00204086	0.20	0.0236	11	-8	28	0.00205043	22.56	
#O-S88@47	28.52	4368	-448	2.39	2.17E+09	0.00204020	0.17	0.0234	12	-8	28	0.00204977	22.23	
#O-S88@48	28.58	4390	-420	2.39	2.18E+09	0.00204173	0.20	0.0244	12	-9	29	0.00205131	23.00	
#O-S88@49	28.65	4413	-392	2.39	2.18E+09	0.00204232	0.20	0.0254	12	-8	28	0.00205191	23.29	
#O-S88@50	28.72	4436	-364	2.40	2.18E+09	0.00204545	0.21	0.0254	13	-8	27	0.00205505	24.86	
#O-S88@51	28.80	4458	-336	2.40	2.18E+09	0.00204017	0.19	0.0254	13	-10	27	0.00204975	22.22	
#O-S88@52	28.87	4481	-308	2.40	2.18E+09	0.00204151	0.18	0.0236	13	-9	26	0.00205109	22.89	
#O-S88@53	28.93	4504	-280	2.39	2.17E+09	0.00204876	0.16	0.0242	14	-9	27	0.00205838	26.52	
#O-S88@54	29.13	4527	-252	2.39	2.17E+09	0.00204193	0.19	0.0265	15	-10	28	0.00205151	23.10	
#O-S88@55	29.20	4549	-224	2.39	2.17E+09	0.00204200	0.19	0.0254	15	-9	27	0.00205159	23.13	
#O-S88@56	29.27	4572	-196	2.40	2.17E+09	0.00204574	0.18	0.0269	15	-9	28	0.00205534	25.01	
#O-S88@57	29.33	4595	-168	2.39	2.19E+09	0.00204577	0.22	0.0264	16	-11	26	0.00205537	25.02	
#O-S88@58	29.40	4617	-140	2.39	2.17E+09	0.00204639	0.18	0.0244	16	-9	26	0.00205599	25.33	
#O-S88@59	29.47	4640	-112	2.38	2.16E+09	0.00203991	0.19	0.0257	16	-10	27	0.00204949	22.09	
#O-S88@60	29.54	4663	-84	2.38	2.17E+09	0.00204765	0.20	0.0262	16	-11	26	0.00205726	25.96	
#O-S88@61	29.60	4686	-56	2.38	2.16E+09	0.00204505	0.22	0.0255	15	-11	27	0.00205465	24.66	
#O-S88@62	29.67	4708	-28	2.36	2.16E+09	0.00203958	0.20	0.0276	16	-10	26	0.00204915	21.92	
#O-S88@63	29.75	4732	0	2.36	2.07E+09	0.00203988	0.21	0.0269	16	-10	29	0.00204946	22.07	
#P-S88@01	9.27	5710	-1530	2.25	2.07E+09	0.00203870	0.17	0.0308	10	3	28	0.00204827	21.48	
#P-S88@02	9.33	5740	-1512	2.26	2.12E+09	0.00203819	0.14	0.0275	11	3	24	0.00204776	21.22	
