Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
D-S88@04	11.38	-2324	3780	2.39	2.07E+09	0.00205001	0.171	0.0243	17	-1	-26	0.00205378	24.23											
D-S88@05	11.45	-2356	3796	2.39	2.08E+09	0.00204996	0.154	0.0257	17	-1	-26	0.00205373	24.20											
D-S88@06	11.52	-2388	3811	2.39	2.06E+09	0.00205012	0.181	0.0245	17	-1	-24	0.00205389	24.28											
D-S88@07	11.58	-2420	3827	2.39	2.06E+09	0.00204817	0.163	0.0241	17	-1	-23	0.00205194	23.31											
D-S88@08	11.67	-2452	3842	2.39	2.05E+09	0.00205012	0.176	0.0248	17	-2	-22	0.00205389	24.28											
D-S88@09	11.73	-2483	3857	2.39	2.04E+09	0.00204901	0.185	0.0259	17	-2	-24	0.00205278	23.73											
D-S88@10	11.80	-2514	3873	2.39	2.05E+09	0.00204909	0.185	0.0259	17	-3	-26	0.00205286	23.77											
D-S88@11	11.87	-2545	3888	2.39	2.04E+09	0.00205113	0.161	0.0283	18	-2	-25	0.00205490	24.79											
D-S88@12	11.93	-2576	3904	2.39	2.07E+09	0.00205333	0.171	0.0301	18	-2	-24	0.00205711	25.89											
D-S88@13	12.00	-2607	3919	2.39	2.05E+09	0.00205596	0.192	0.0297	18	-2	-24	0.00205974	27.20											
D-S88@14	12.07	-2638	3935	2.39	2.06E+09	0.00205304	0.165	0.0296	18	-3	-26	0.00205682	25.74											
D-S88@15	12.13	-2669	3950	2.39	2.07E+09	0.00205183	0.167	0.0296	18	-3	-24	0.00205560	25.14											
D-S88@16	12.20	-2700	3965	2.39	2.06E+09	0.00205039	0.139	0.0293	18	-2	-24	0.00205416	24.42											
D-S88@17	12.40	-2731	3981	2.39	2.04E+09	0.00204960	0.147	0.0313	18	-3	-26	0.00205338	24.03											
D-S88@18	12.47	-2762	3996	2.39	2.06E+09	0.00205039	0.164	0.0311	18	-3	-25	0.00205416	24.42											
D-S88@19	12.53	-2793	4012	2.38	2.06E+09	0.00204883	0.176	0.0315	18	-3	-25	0.00205260	23.64											
D-S88@20	12.62	-2824	4027	2.38	2.05E+09	0.00204977	0.174	0.0323	19	-3	-24	0.00205354	24.11											
